Date,Open,High,Low,Close,Volume
24-03-2010,109.05,111.79,103.59,104.58,7846
25-03-2010,165.07,165.57,162.04,164.62,41352
26-03-2010,177.74,179.85,176.32,179.49,24694
29-03-2010,154.27,156.31,151.87,156.05,22740
30-03-2010,265.75,268.48,262.74,264.48,50438
31-03-2010,171.35,176.35,169.03,175.77,31996
01-04-2010,156.19,157.44,151.86,152.86,64874
02-04-2010,208.54,209.89,206.05,208.54,98661
05-04-2010,128.18,131.89,127.36,130.09,60682
06-04-2010,260.44,262.63,258.8,262.41,45200
07-04-2010,114.91,117.08,114.27,116.4,23970
08-04-2010,297.38,300.17,293.7,295.13,11895
09-04-2010,254.45,257.18,250.06,251.01,39071
12-04-2010,139.74,143.44,138.94,141.1,53268
13-04-2010,101.1,102.15,98.2,102.09,23258
14-04-2010,263.09,264.07,259.4,259.88,89890
15-04-2010,241.37,245.3,239.01,243.42,97177
16-04-2010,245.8,246.63,242.4,245.35,58300
19-04-2010,254.25,258.66,254.19,255.93,62915
20-04-2010,114.81,120.08,112.71,118.18,9444
21-04-2010,171.69,171.91,167.63,168.39,76147
22-04-2010,123.17,125.9,118.24,118.36,77064
23-04-2010,272.62,278.28,271.41,275.41,67535
26-04-2010,224.66,225.99,221.85,225.76,4760
27-04-2010,166.18,169.78,166.14,168.18,37884
28-04-2010,112.71,117,110.95,116.09,88477
29-04-2010,162.2,166.41,160.7,165.23,27022
30-04-2010,165.04,170.19,162.42,169.65,55504
03-05-2010,245.92,248.01,245.67,246.28,44130
04-05-2010,227.51,230.38,225.35,227.39,44881
05-05-2010,277.44,278.95,274.42,276.46,63399
06-05-2010,194.44,194.69,188.97,190.98,37451
07-05-2010,123.92,126.51,121.09,124.65,52413
10-05-2010,242.65,243.67,237.95,240.42,93057
11-05-2010,252.16,258.94,252.03,256.37,63278
12-05-2010,212.26,214.39,210.85,213.09,30639
13-05-2010,254.19,255.7,253,255.12,35621
14-05-2010,198.76,199.33,196.38,197.31,97985
17-05-2010,204.55,206.86,198.72,200.07,14079
18-05-2010,185.51,186.31,179.68,180.83,7895
19-05-2010,105.08,107.38,103.01,104.31,94515
20-05-2010,121.58,122.2,114.49,117.43,53142
21-05-2010,106.29,108.33,106.02,107.36,13552
24-05-2010,227.28,232.49,224.51,231.09,93930
25-05-2010,162.87,169.53,161.43,166.7,49821
26-05-2010,201.71,206.1,199.84,203.3,98812
27-05-2010,281.51,282.13,276.13,278.62,34630
28-05-2010,149.86,154.56,148.78,153.49,71063
31-05-2010,182.08,186.39,180.79,185.94,13247
01-06-2010,251.11,252.64,246.85,248.08,18603
02-06-2010,145.76,149.51,144.64,148.13,46564
03-06-2010,115.4,118.1,110.49,113.27,1527
04-06-2010,157.95,163.77,155.46,160.98,57521
07-06-2010,132.24,138.36,131.91,137.21,69458
08-06-2010,285.94,287.42,280.92,281.24,6849
09-06-2010,261.62,268.28,260.34,265.59,96836
10-06-2010,226.68,230.33,226.38,227.91,94316
11-06-2010,274.29,279.03,272.43,279.02,51314
14-06-2010,260.73,261.69,259.95,260.38,46724
15-06-2010,137.31,142.05,135.74,140.78,94676
16-06-2010,278.51,279.2,274.11,274.13,18230
17-06-2010,207.87,208.47,205.27,206.22,93229
18-06-2010,261.49,261.6,255.13,257.16,73495
21-06-2010,279.22,285.9,277.77,283.97,43730
22-06-2010,163.6,167.56,160.67,166.77,86203
23-06-2010,122.01,125.7,119.39,125.54,92937
24-06-2010,145.59,150.66,144.51,149.97,4323
25-06-2010,185.42,187.83,181.13,181.27,1445
28-06-2010,263.6,266.15,259.92,262.46,83945
29-06-2010,272.15,273.6,265.13,267.86,10963
30-06-2010,101.39,102.64,96.04,98.5,51511
01-07-2010,202.15,205.08,199.06,199.44,16437
02-07-2010,183.48,184.08,180.18,183.17,17855
05-07-2010,144.42,145.07,141.33,142.11,82947
06-07-2010,123.97,124.85,117.81,119.98,11847
07-07-2010,167.52,168.04,161.47,164.19,4236
08-07-2010,288.58,289.72,284.34,285.05,62897
09-07-2010,164.64,172.1,161.92,169.37,14487
12-07-2010,203.76,208.2,202.83,206.35,78384
13-07-2010,240.6,246.52,237.67,245.28,63423
14-07-2010,172.73,175.53,171.29,172.13,14155
15-07-2010,294.36,294.51,289.28,292.14,12255
16-07-2010,292.49,296.1,292.33,295.47,2979
19-07-2010,150.36,152.06,146.49,148.62,22305
20-07-2010,199.45,201.3,195.84,197.44,75543
21-07-2010,160.18,160.3,156.08,157.51,36094
22-07-2010,156.97,158.18,152.6,153.27,36098
23-07-2010,107.38,109.33,102.82,104.94,90566
26-07-2010,221.91,224,219.89,220.46,34770
27-07-2010,200.54,204.19,198.88,202.28,10734
28-07-2010,110.3,111.26,105.17,105.93,72984
29-07-2010,155.73,156.01,149.97,152.84,40605
30-07-2010,281.65,286.02,281.56,284.74,78932
02-08-2010,147.91,148.3,143.78,144.38,56619
03-08-2010,128.98,131.82,126.68,127.41,28881
04-08-2010,197.89,202.97,196.65,201.54,64401
05-08-2010,297.13,298.08,292.98,293.68,32177
06-08-2010,148.41,150.71,142.77,144.24,41122
09-08-2010,234.43,235.92,231.66,234.28,36297
10-08-2010,252.32,253.25,248.2,250.34,37680
11-08-2010,147.53,150.6,145.79,148.16,84452
12-08-2010,245.64,251.28,245.37,248.68,52044
13-08-2010,173.56,175.58,167.85,169.93,97775
16-08-2010,226.46,227.41,225.96,227.27,45084
17-08-2010,226.71,228.47,224.35,226.77,35189
18-08-2010,207.15,209.44,202.84,203.59,14510
19-08-2010,118.06,119.71,116.81,119.3,91502
20-08-2010,267.06,267.75,263.75,264.8,23152
23-08-2010,164.16,166.81,161.46,164.04,85738
24-08-2010,137.3,137.36,132.74,133.12,27445
25-08-2010,108.16,110.42,106.06,107.76,77688
26-08-2010,218.18,219.6,215.81,216.24,72153
27-08-2010,235.51,240.07,233.4,238.73,2195
30-08-2010,103.32,103.34,96.17,98.89,60949
31-08-2010,202.42,204.88,200.31,201.61,26433
01-09-2010,145.3,146.38,143.42,144.88,6305
02-09-2010,229.03,232.9,226.25,231.28,59860
03-09-2010,134.87,137.64,133.31,135.61,74613
06-09-2010,238.19,241.97,236.73,239.86,49648
07-09-2010,177.35,182.99,175.62,180.12,64090
08-09-2010,287.35,292.56,285.28,290.97,97921
09-09-2010,127.5,128.7,125.32,125.64,43113
10-09-2010,168.21,171.45,165.75,168.59,43642
13-09-2010,122.69,128.02,121.38,126.09,34062
14-09-2010,284.94,290.72,284.72,289.83,72633
15-09-2010,275.47,279.75,273.11,279.37,42604
16-09-2010,151.59,154.12,149.17,150.3,7678
17-09-2010,232,233.09,228.65,228.95,33121
20-09-2010,263.44,265.42,261.43,263.33,49503
21-09-2010,211.04,214.87,208.4,213.46,87940
22-09-2010,205.93,206.53,203.2,205.86,72279
23-09-2010,148.37,150.18,145.33,148.2,17494
24-09-2010,118.62,122.18,116.02,122,45185
27-09-2010,279.44,280.68,278.04,278.05,10678
28-09-2010,280.08,285.32,278.94,283.68,38632
29-09-2010,226.62,227.93,223.23,225.69,47235
30-09-2010,167.81,170.06,164.99,166.09,2648
01-10-2010,169.84,172.32,167.58,169.38,82213
04-10-2010,245.19,250.12,243.37,247.81,89301
05-10-2010,279.42,279.54,274.58,275.68,68917
06-10-2010,277.42,278,271.67,274.38,17489
07-10-2010,255.98,262.1,254.47,260.49,78281
08-10-2010,228.41,231.21,223.77,225.16,6818
11-10-2010,116.83,120.01,113.84,117.51,34149
12-10-2010,132.33,135.65,130.85,133.12,28312
13-10-2010,279.71,280.62,279.07,279.61,38124
14-10-2010,221.29,224.03,219.75,222.74,2316
15-10-2010,101.84,103.25,96.7,99.14,71990
18-10-2010,120.29,121.29,117.96,120.82,61046
19-10-2010,232.7,232.79,229.05,231.42,79643
20-10-2010,101.01,105.47,98.89,102.63,70610
21-10-2010,132.16,132.88,127.81,128.57,87724
22-10-2010,209.75,211.18,207.16,210.46,98504
25-10-2010,238.38,238.63,232.55,235.23,65042
26-10-2010,230.39,233.18,227.6,228.18,24102
27-10-2010,144.85,146.59,141.65,142.04,32957
28-10-2010,242.44,244.44,236.34,239.27,13872
29-10-2010,147.45,153.44,144.85,150.71,51094
01-11-2010,165.08,166.12,160.26,162.94,48719
02-11-2010,249.3,255.43,246.64,253.57,74885
03-11-2010,229.93,234.75,228.3,234.63,20693
04-11-2010,269.84,271.11,267.9,270.55,51478
05-11-2010,231.52,234.01,226.31,227.95,99163
08-11-2010,213.66,215.96,212.26,212.41,44677
09-11-2010,118.73,122.76,116.49,121.71,61012
10-11-2010,173.54,174.67,170.69,172.21,11760
11-11-2010,153.04,154.64,146.97,148.91,12584
12-11-2010,148.8,149.37,147.29,149.37,3106
15-11-2010,294.6,298.77,293.12,298.05,14669
16-11-2010,178.62,182.2,178.1,181.58,26223
17-11-2010,278.41,279.16,274.32,275.16,61666
18-11-2010,226.23,230.38,225.75,227.96,36706
19-11-2010,258.96,259.8,255.58,256.17,69019
22-11-2010,200.53,201.1,194.79,197.71,62585
23-11-2010,215.38,220.63,214.92,219.12,28482
24-11-2010,198.5,201.1,195.19,196,61369
25-11-2010,139.05,139.77,134.91,136.68,35143
26-11-2010,244.49,244.73,237.67,239.5,25240
29-11-2010,156.15,160.93,155.69,159.86,11015
30-11-2010,104.86,110.03,102.48,107.79,83164
01-12-2010,229.09,232.01,226.73,230.36,64023
02-12-2010,135.42,140.37,134.71,137.92,52500
03-12-2010,288.09,290.97,283.74,284.61,64925
06-12-2010,290.79,293.17,287.56,290.37,91979
07-12-2010,282.97,284.78,279,281.48,97355
08-12-2010,174.03,175.51,167.88,169.97,81596
09-12-2010,103.09,103.21,102.7,102.95,93973
10-12-2010,285.66,292.82,284.41,289.87,50631
13-12-2010,185.64,186.79,179.36,181.04,77190
14-12-2010,293.33,293.79,290.68,291.24,64652
15-12-2010,292.72,294.72,288.46,289.8,52087
16-12-2010,270.6,271.45,266.18,267.98,80789
17-12-2010,158.89,164.73,157.91,162.97,55909
20-12-2010,177.02,178.78,174.36,176.7,12565
21-12-2010,270.23,271.57,267.37,269.89,28597
22-12-2010,163.38,168.5,162.41,165.99,94304
23-12-2010,133.9,134.69,127.92,130.44,66623
24-12-2010,211.36,212.71,210.92,211.23,10432
27-12-2010,287.23,288.84,284.02,286.53,75300
28-12-2010,239.21,242.17,238.75,240.18,66714
29-12-2010,214.01,221.36,213.76,219.01,92837
30-12-2010,119.44,123.31,117.51,122.13,50314
31-12-2010,223,224.94,220.56,221.98,42965
03-01-2011,298.01,301.74,295.29,301.29,98449
04-01-2011,128.02,130.82,123.64,124.73,85268
05-01-2011,203.67,204.82,198.11,198.97,68957
06-01-2011,275.47,277.66,271.01,272.51,44715
07-01-2011,248.15,248.21,245.18,246.55,54450
10-01-2011,239.4,240.13,238.37,239.51,87062
11-01-2011,240.5,243.11,238.42,241.65,62902
12-01-2011,171.9,178.64,169.62,176.01,29317
13-01-2011,158.72,160.4,156.16,158.82,67753
14-01-2011,261.87,264.67,258.95,261.88,36242
17-01-2011,262.02,263.47,256.72,257.52,1929
18-01-2011,273.41,274.88,266.61,268.76,99724
19-01-2011,282.65,283.52,281.47,283.16,14580
20-01-2011,202.27,204.68,199.62,201.65,96967
21-01-2011,200.3,204.43,198.87,203.69,21742
24-01-2011,259.66,262.36,253.29,256.27,18833
25-01-2011,229.99,232.72,223.05,225.24,97421
26-01-2011,240.39,243.22,237.02,239.88,72347
27-01-2011,259.16,260.72,254.03,256.53,75155
28-01-2011,278,280.03,270.79,273.5,90791
31-01-2011,167.6,172.19,165.16,169.85,91508
01-02-2011,175.12,175.51,169.86,171.24,14527
02-02-2011,118.8,121.68,118.04,119.88,59139
03-02-2011,215.66,215.76,212.36,213.47,99410
04-02-2011,107.19,108.68,103.86,103.92,70585
07-02-2011,193.12,193.58,190.35,191.92,42057
08-02-2011,208.53,212.09,207.01,211.54,68439
09-02-2011,157.31,158.41,154.65,156.23,45261
10-02-2011,218.17,221.98,215.25,220.68,71912
11-02-2011,106.1,107.97,99.62,102.35,1042
14-02-2011,107.47,110.42,106.98,110.2,23769
15-02-2011,264.52,266.03,260.78,261.89,68113
16-02-2011,172.04,174.36,170.77,173.81,78918
17-02-2011,125.41,127.79,124.33,126.07,23449
18-02-2011,204.45,210.65,202.05,208.74,39653
21-02-2011,254,255.67,251.3,252.87,29859
22-02-2011,143.16,145.37,137.1,138.82,9576
23-02-2011,224.58,225.59,217.21,219.77,46874
24-02-2011,117.07,122.64,114.65,120.34,78199
25-02-2011,110.34,111.89,109.94,110.59,37345
28-02-2011,206.27,210.47,204.13,209.02,71780
01-03-2011,208.13,210.07,204.16,205.47,70428
02-03-2011,227.49,227.55,225.06,225.94,93648
03-03-2011,245.22,247.18,240.37,240.52,5321
04-03-2011,295.17,301.64,293.71,299.78,6776
07-03-2011,203.26,205.87,202.19,204.94,17119
08-03-2011,164.59,169.18,163.84,168.92,31569
09-03-2011,259.04,259.31,254.61,256.69,39596
10-03-2011,154.17,158.05,151.86,155.28,53967
11-03-2011,187.79,191.64,187.06,189.57,34063
14-03-2011,115.69,116.07,113.72,113.87,99717
15-03-2011,105.07,109.62,102.52,108.55,23340
16-03-2011,292.53,298.78,292.5,297,76723
17-03-2011,267.2,273.56,264.39,271.05,56430
18-03-2011,239.19,241.71,237.31,241.58,7668
21-03-2011,181.79,182.5,178.59,179.56,81880
22-03-2011,134.66,137.33,131.74,132.48,9195
23-03-2011,131.29,135.95,131.26,135.92,83097
24-03-2011,150.05,150.65,144.44,145.15,58995
25-03-2011,209.85,214.89,209.44,212.01,88834
28-03-2011,242.92,246.82,241.08,244.98,39250
29-03-2011,232.04,234.06,231.54,233.27,17076
30-03-2011,155.99,161.09,154.4,160.89,16376
31-03-2011,290.97,291.05,287.32,289.09,56839
01-04-2011,247.58,248.31,245.09,245.98,65723
04-04-2011,210.87,213.51,206.55,206.66,44442
05-04-2011,222.34,223.59,221.66,221.77,6392
06-04-2011,183.92,186.08,181.45,181.53,28106
07-04-2011,149.55,152.3,145.76,147.98,80845
08-04-2011,171.19,175.76,170.24,174.54,25809
11-04-2011,251.57,256.49,249.18,255.92,1693
12-04-2011,102.88,104.43,98.44,99.74,95769
13-04-2011,123.21,125.93,120.58,121.94,60821
14-04-2011,109.2,115.9,107.66,113.49,75159
15-04-2011,108.15,108.35,101.63,103.77,75710
18-04-2011,271.09,273.17,266.19,267.01,12352
19-04-2011,240.73,242.45,237,237.36,53196
20-04-2011,194.83,198.5,193.16,195.78,72066
21-04-2011,119.57,119.94,115.09,116.07,5992
22-04-2011,198.32,204.6,196.99,203,54076
25-04-2011,194.69,197.33,192.22,194.16,24354
26-04-2011,134.64,135.89,133.16,134.66,4312
27-04-2011,186.77,188.22,182.38,184.24,46833
28-04-2011,179.7,179.91,177.78,179.41,5318
29-04-2011,223.17,225.62,220.95,224.79,67003
02-05-2011,227.02,230.5,224.9,229.53,28192
03-05-2011,109.06,114.44,107.46,111.6,90199
04-05-2011,174.92,176.55,172.88,175.7,97782
05-05-2011,225.17,230.59,222.55,229.21,38489
06-05-2011,200.63,205.81,199.33,203.8,41309
09-05-2011,271.3,274.36,270.06,273.87,29273
10-05-2011,231.74,233.2,225.01,227.3,48553
11-05-2011,132.59,134.81,125.91,127.66,30473
12-05-2011,114.11,116.71,111.02,111.23,62410
13-05-2011,228.48,232,225.8,230.12,14679
16-05-2011,105.3,107.31,104.32,104.41,93981
17-05-2011,217.16,217.54,213.93,216.18,46310
18-05-2011,288.05,294.74,285.77,291.9,84406
19-05-2011,215.09,219.45,212.23,219.05,61683
20-05-2011,177.63,184.04,177.47,181.72,26992
23-05-2011,228.66,229.45,225.01,226.8,30433
24-05-2011,191.65,196.36,190.37,193.56,77574
25-05-2011,209.12,211.28,205.85,206.84,26933
26-05-2011,288.29,290.55,284.93,285.2,46020
27-05-2011,177.22,177.88,172.38,174.07,30236
30-05-2011,292.24,293.57,289.22,290.66,59735
31-05-2011,281.07,282.92,280.06,280.37,10770
01-06-2011,139.16,144.78,137.32,142.47,70285
02-06-2011,113.87,114.18,107.86,110.07,36271
03-06-2011,120.16,125.4,117.86,122.51,74391
06-06-2011,103.64,106.62,100.92,103.95,24439
07-06-2011,118.89,119.7,115.54,116.77,96826
08-06-2011,236.6,239.07,233.67,236.53,12101
09-06-2011,114.24,115.79,109.64,112.24,93776
10-06-2011,163.8,166.15,162.91,164.76,83319
13-06-2011,268.98,269.92,267.84,268.32,45917
14-06-2011,104.65,106.39,99.98,101.29,93345
15-06-2011,262.89,265.08,257.85,259.06,84459
16-06-2011,156.37,158.07,154.64,156.84,81562
17-06-2011,123.63,129.54,121.88,127.65,42196
20-06-2011,239.35,241.45,235.54,237.79,24569
21-06-2011,225.79,230.25,224.26,228.12,42887
22-06-2011,275.49,277.24,275.18,277.08,21893
23-06-2011,247.01,253.91,244.44,251.33,88971
24-06-2011,260.7,265.28,259.77,263.91,56304
27-06-2011,156.41,157.87,153.5,157.08,33399
28-06-2011,135.49,137.79,135.14,137.06,26236
29-06-2011,250.12,255.55,247.25,254.1,93735
30-06-2011,261.37,264.03,260.1,260.37,86870
01-07-2011,298.1,299.24,295.68,296.37,99753
04-07-2011,182.52,184.77,177.49,177.63,50531
05-07-2011,174.4,177.96,172.28,177.67,81570
06-07-2011,255.28,259.72,252.73,258.29,97621
07-07-2011,168.16,171.14,162.9,164.2,10442
08-07-2011,286.15,289.23,283.36,286.92,57437
11-07-2011,271.68,272.31,269.55,271.32,61342
12-07-2011,185.8,187.3,180.1,181.99,79179
13-07-2011,250.17,255.68,247.63,254.98,36069
14-07-2011,250.91,252.14,247.17,248.06,74246
15-07-2011,120.62,122.96,115.23,116.29,39560
18-07-2011,280.51,283.77,277.79,281.46,59070
19-07-2011,201.05,204.12,198.35,203.44,43427
20-07-2011,265.29,268.06,257.68,260.61,61496
21-07-2011,164.01,167.38,161.3,165.6,65557
22-07-2011,279.1,280.56,278.72,279.42,73752
25-07-2011,177.84,179.35,171.4,173.87,78248
26-07-2011,102.17,103.99,97.67,98.9,71441
27-07-2011,281.08,283.44,278.11,281.76,49534
28-07-2011,118.26,119.72,114.8,116.22,28930
29-07-2011,163.86,169.75,162.2,168.24,97728
01-08-2011,290.01,293.73,288.42,293.2,90042
02-08-2011,290.12,297.4,289.15,294.96,8288
03-08-2011,214.69,216.32,212.06,212.29,96547
04-08-2011,226.37,231.46,223.68,231.07,82122
05-08-2011,189.69,191.99,186.59,189,62518
08-08-2011,158.64,161.44,156.7,157.12,33400
09-08-2011,165.73,168.57,158.9,161.23,2567
10-08-2011,234.5,235.61,228.15,230.03,48878
11-08-2011,250.47,252.8,249.24,252.39,49850
12-08-2011,258.32,259.88,257.14,257.9,2094
15-08-2011,257.92,258.26,252.61,255.19,12135
16-08-2011,118.24,122.18,116.14,119.38,80044
17-08-2011,198.88,199.43,194.77,196.41,46113
18-08-2011,111.51,113.05,109.68,112.29,59791
19-08-2011,209.91,211.13,208.23,208.5,10684
22-08-2011,188.31,192.7,186.89,191.55,93783
23-08-2011,277.54,283.13,276.96,280.75,72727
24-08-2011,170.18,171.55,169.32,169.95,84378
25-08-2011,123.41,123.92,119.94,121.92,59552
26-08-2011,128.6,129.4,124.5,127.23,9046
29-08-2011,252.3,256.89,251.09,255.36,5934
30-08-2011,223.64,224.08,221.3,221.92,60556
31-08-2011,120.22,122.05,115.36,117.31,47806
01-09-2011,116.82,118.52,110.06,112.67,2354
02-09-2011,240.19,242.33,237.62,239.86,96352
05-09-2011,114.55,117.36,111.76,114.37,54046
06-09-2011,264.37,270.52,262.76,267.78,66064
07-09-2011,241.25,244.09,236.2,238.46,58184
08-09-2011,116.27,117,114.66,115.08,3963
09-09-2011,116.97,120.44,115.93,120.05,28424
12-09-2011,297.33,301.48,296.16,300.57,81039
13-09-2011,174.85,177.54,172.17,173.7,4042
14-09-2011,174.13,177.05,170.93,173.72,96777
15-09-2011,262.56,265.14,257.97,260.59,8139
16-09-2011,289.45,294.11,289.05,293.78,12226
19-09-2011,297.2,300.04,292.87,293.39,81298
20-09-2011,250.68,256.29,249.61,255.02,84652
21-09-2011,175.25,177.12,174.38,177.09,39108
22-09-2011,116.7,118.35,114.86,117.02,71647
23-09-2011,255.43,255.57,248.05,250.76,69617
26-09-2011,211.68,213.31,208.55,211.44,30815
27-09-2011,184.84,185.86,181.96,183.92,8802
28-09-2011,281.27,282.69,275.37,277.88,43230
29-09-2011,122.24,125.64,120.66,123.8,64372
30-09-2011,198.53,205.85,197.91,203.24,55020
03-10-2011,102.27,104.88,100.7,102.89,84449
04-10-2011,193.73,197.18,192.06,195.88,18465
05-10-2011,111.26,113.72,104.71,106.94,8994
06-10-2011,123.76,126.48,122.28,122.94,4531
07-10-2011,123.51,123.87,118.57,119.67,10343
10-10-2011,229.84,232.57,228.75,230.97,60066
11-10-2011,249.21,254.44,246.33,253.59,7229
12-10-2011,216.67,218.43,215.34,218.29,95311
13-10-2011,292.43,294.44,285.93,288.2,93302
14-10-2011,174.97,177.56,171.27,173.52,83124
17-10-2011,157.14,158.14,156.34,157.65,89704
18-10-2011,273.72,276.16,271.03,272.75,45789
19-10-2011,144.72,150.62,142.04,148.06,45069
20-10-2011,292.64,298.53,291.21,295.79,88402
21-10-2011,102.43,104.35,99.59,103.55,10524
24-10-2011,293.98,296.69,292.07,292.71,89074
25-10-2011,108.63,109.59,105.96,106.18,87762
26-10-2011,278.23,279.89,271.62,274.29,64103
27-10-2011,205.54,205.69,201.55,204.09,9103
28-10-2011,298.59,298.72,294.74,297.72,59581
31-10-2011,114.76,118.68,112.72,116.52,84938
01-11-2011,210.77,213.68,207.96,212.35,55203
02-11-2011,293.86,294.63,287.08,289.56,16090
03-11-2011,204.62,205.19,201.04,203.57,16915
04-11-2011,225.88,227.89,220.99,222.7,42477
07-11-2011,239.15,239.15,234.57,235.72,57987
08-11-2011,190.91,196.6,188.11,194.18,54238
09-11-2011,225.51,225.75,219.63,220.93,88047
10-11-2011,216.86,217.43,214.43,216.05,16029
11-11-2011,280.23,281.39,275.57,276.91,97367
14-11-2011,109.09,114.33,107.4,112.88,90067
15-11-2011,156.19,157.82,154.78,156.76,54520
16-11-2011,290.08,291.04,287.25,287.39,71053
17-11-2011,278.05,280.96,275.4,278.07,52464
18-11-2011,191.13,195.36,189.8,193.44,22961
21-11-2011,224.03,228.68,222.26,228.61,27835
22-11-2011,155.48,156.77,152.26,152.68,28725
23-11-2011,137.62,144.11,137.61,141.48,26357
24-11-2011,192.74,197.98,192,197.08,2244
25-11-2011,170.67,175.11,168.56,174.83,68952
28-11-2011,216.73,220.36,216.43,218.08,49061
29-11-2011,115.55,118.67,112.82,116.85,7490
30-11-2011,294.88,296.59,293.26,293.91,78219
01-12-2011,297.24,299.92,296.63,299.76,6839
02-12-2011,239.63,240.36,239.09,239.94,25992
05-12-2011,207.22,210.86,207.18,208.99,45938
06-12-2011,161.91,162.53,158.87,161.19,57249
07-12-2011,262.76,266.58,260.13,265.07,45735
08-12-2011,236.95,241.82,235.11,240.19,51734
09-12-2011,132.52,133.37,128.42,128.98,48080
12-12-2011,282.19,288.37,281.33,285.52,75460
13-12-2011,264.51,267.44,263.08,264.91,82457
14-12-2011,289.96,295.58,287.1,293.41,25260
15-12-2011,245.14,245.37,243.71,244.45,60607
16-12-2011,222.68,223,219.28,221.47,62852
19-12-2011,183.65,189.28,182.33,187.8,29380
20-12-2011,286.55,287.03,283.17,284.06,85347
21-12-2011,273.21,279.58,271.84,276.65,72257
22-12-2011,109.04,109.52,108.67,108.88,42191
23-12-2011,105.27,106.87,102.87,105.41,5930
26-12-2011,175.29,176.38,172.64,173.37,5353
27-12-2011,262.11,264.76,259.93,262.84,8832
28-12-2011,297.46,297.85,295.5,295.71,50554
29-12-2011,130.08,131.37,122.6,125.47,89487
30-12-2011,218.83,219.65,215.97,216.55,55017
02-01-2012,176.18,178.84,168.59,171.24,58298
03-01-2012,293.98,298.88,291.55,298.76,52389
04-01-2012,268.42,275.82,265.52,273.08,74306
05-01-2012,267.67,270.17,265.19,266.62,26525
06-01-2012,193.74,196.91,191.56,196.02,83092
09-01-2012,182.96,185.33,180.31,181.42,81630
10-01-2012,154.68,156.48,154.13,156.39,74471
11-01-2012,111.28,117.23,109.95,114.33,69211
12-01-2012,272.94,278.99,272.44,277.41,32280
13-01-2012,262.58,263.49,258.63,261.58,12240
16-01-2012,299.94,303.86,299.65,302.77,66092
17-01-2012,299.33,299.53,295.22,296.99,70541
18-01-2012,211.09,218.96,209.21,215.99,63851
19-01-2012,253.8,253.92,247.45,249.06,7544
20-01-2012,288.95,291.95,286.96,289.99,58981
23-01-2012,269.93,272.86,269.58,271.53,18332
24-01-2012,149.47,154.2,147.8,151.35,27836
